iShares S&P 100 ETF
Fund Holdings as of,"Sep 02, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"44,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"KO","COCA-COLA","Consumer Staples","Equity","73,863,996.22","0.99","73,863,996.22","1,442,938.00","191216100","US1912161007","2206657","51.19","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","72,263,779.20","0.96","72,263,779.20","660,305.00","002824100","US0028241000","2002305","109.44","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","67,155,611.04","0.90","67,155,611.04","1,583,112.00","17275R102","US17275R1023","2198163","42.42","United States","NASDAQ","USD","1.00","-","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","65,029,445.34","0.87","65,029,445.34","147,439.00","883556102","US8835561023","2886907","441.06","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"XOM","EXXON MOBIL CORP","Energy","Equity","61,856,868.96","0.83","61,856,868.96","1,578,384.00","30231G102","US30231G1022","2326618","39.19","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ABBV","ABBVIE INC","Health Care","Equity","61,807,732.05","0.82","61,807,732.05","657,879.00","00287Y109","US00287Y1091","B92SR70","93.95","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","60,020,042.25","0.80","60,020,042.25","277,575.00","580135101","US5801351017","2550707","216.23","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","59,146,946.34","0.79","59,146,946.34","164,819.00","22160K105","US22160K1051","2701271","358.86","United States","NASDAQ","USD","1.00","-","USD"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","58,779,404.00","0.78","58,779,404.00","237,800.00","G1151C101","IE00B4BNMY34","B4BNMY3","247.18","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CVX","CHEVRON CORP","Energy","Equity","57,980,185.59","0.77","57,980,185.59","696,961.00","166764100","US1667641005","2838555","83.19","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
